,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2020,2021,2022,2023,2024,2025,career,pitcher,start_ratio,games
0,Paul Goldschmidt\goldspa01,32,10,Traded,8.059,Excel Sports Mana...,5 yrs/$130M (20-24),$26M,$26M,$26M,$26M,$26M,FA,"[0.4, 3.4, 6.3, 4.7, 8.3, 5.0, 6.4, 6.2, 2.4]",False,,"[48.0, 145.0, 160.0, 109.0, 159.0, 158.0, 155.0, 158.0, 161.0]"
1,Dexter Fowler\fowlede01,34,13,Free Agency,10.168,Excel Sports Mana...,5 yrs/$82.5M (17-21),$16.5M,$16.5M,FA,,,,"[-0.3, 1.2, 1.7, 2.3, 2.6, 2.0, 1.8, 2.4, 4.0, 1.8, -1.3, 1.5]",False,,"[13.0, 135.0, 132.0, 125.0, 143.0, 119.0, 116.0, 156.0, 125.0, 118.0, 90.0, 150.0]"
2,Miles Mikolas\mikolmi01,31,5,Free Agency,3.037,Octagon,4 yrs/$68M (20-23),$17M,$17M,$17M,$17M,FA,,"[0.1, 0.1, -0.8, 4.8, 1.5]",True,0.7326732673267327,"[25.0, 2.0, 10.0, 32.0, 32.0]"
3,Yadier Molina\molinya01,37,17,Amateur Draft,15.123,Melin Roman,3 yrs/$60M (18-20),$20M,FA,,,,,"[0.4, 1.4, -0.2, 2.1, 1.3, 3.2, 3.1, 2.9, 7.2, 6.2, 3.2, 1.6, 3.0, 1.8, 1.6, 1.3]",False,,"[51.0, 114.0, 129.0, 111.0, 124.0, 140.0, 136.0, 139.0, 138.0, 136.0, 110.0, 136.0, 147.0, 136.0, 123.0, 113.0]"
4,Carlos Martinez\martica04,28,7,Free Agency,6.0729999999999995,MVP Sports Group,5 yrs/$51M (17-21) & 22-23 team option,$11.7M,$11.7M,$500k [FA-*],$0 [FA-*],FA,,"[-0.1, 0.2, 3.8, 6.1, 3.2, 2.1, 0.8]",True,0.466403162055336,"[21.0, 57.0, 31.0, 31.0, 32.0, 33.0, 48.0]"
5,Matt Carpenter\carpema01,34,10,Amateur Draft,8.012,SSG Baseball,2 yrs/$39M (20-21) & 21 vesting option,$18.5M,$18.5M,FA,,,,"[-0.2, 1.1, 6.6, 2.9, 5.0, 4.1, 2.7, 4.9, 1.2]",False,,"[7.0, 114.0, 157.0, 158.0, 154.0, 129.0, 145.0, 156.0, 129.0]"
6,Paul DeJong\dejonpa01,26,4,Amateur Draft,2.127,C.L. Rocks Corpor...,6 yrs/$26M (18-23) & 24-25 team option,$1.67M,$4.17M,$6.17M,$9.17M,$2M [FA-*],$0 [FA-*],"[2.8, 3.6, 5.3]",False,,"[108.0, 115.0, 159.0]"
7,Kolten Wong\wongko01,29,8,Amateur Draft,6.045,PSI Sports Manage...,5 yrs/$25.5M (16-20) & 21 team option,$10.25M,$1M [FA-*],FA,,,,"[-0.7, 2.4, 2.6, 1.3, 1.6, 3.2, 5.2]",False,,"[32.0, 113.0, 150.0, 121.0, 108.0, 127.0, 148.0]"
8,Andrew Miller\millean01,35,15,Free Agency,11.062000000000001,Mark Rodgers,2 yrs/$25M (19-20) & 21 team option,$11.5M,$2.5M [FA-*],FA,,,,"[-0.2, -0.2, -1.7, -0.1, -1.3, -0.5, 0.7, 0.4, 1.9, 2.3, 3.8, 3.0, 0.2, -0.5]",True,0.0,"[8.0, 13.0, 29.0, 20.0, 9.0, 17.0, 53.0, 37.0, 73.0, 60.0, 70.0, 57.0, 37.0, 73.0]"
9,Adam Wainwright\wainwad01,38,15,Free Agency,14.027000000000001,Steve Hammond,1 yr/$5M (20),$5M,FA,,,,,"[-0.1, 1.7, 3.5, 3.0, 6.7, 6.4, 1.0, 6.5, 6.3999999999999995, 0.8, 2.1, 0.8, 0.1, 1.9000000000000001]",True,1.0,"[2.0, 61.0, 32.0, 20.0, 34.0, 33.0, 32.0, 34.0, 32.0, 7.0, 33.0, 24.0, 8.0, 31.0]"
10,Matt Wieters\wietema01,34,12,Free Agency,10.129,Scott Boras,1 yr/$2M (20),$2M,FA,,,,,"[1.4, 2.6, 5.2, 4.1, 1.2, 0.9, 0.9, 1.9, -0.8, 0.4, 0.5]",False,,"[96.0, 130.0, 139.0, 144.0, 148.0, 26.0, 75.0, 124.0, 123.0, 76.0, 67.0]"
11,Brad Miller\millebr02,30,7,,6.004,ISE Baseball,1 yr/$2M (20),$2M,FA,,,,,"[2.1, 1.3, 0.1, 0.9, 1.0, 0.19999999999999998, 1.5]",False,,"[76.0, 123.0, 144.0, 152.0, 110.0, 75.0, 79.0]"
12,John Gant\gantjo01,27,5,Traded,3.0039999999999996,,1 yr/$1.3M (20),$1.3M,Arb,Arb,FA,,,"[-0.30000000000000004, 0.1, 0.8, 0.6]",True,0.0,"[20.0, 7.0, 26.0, 64.0]"
13,Jack Flaherty\flaheja01,24,4,Amateur Draft,2.006,,1 yr/$605k (20),$604.5k,Arb,Arb,Arb,FA,,"[-0.4, 2.9, 5.8]",True,1.0,"[6.0, 28.0, 33.0]"
14,John Brebbia\brebbjo01,30,3,Rule 5 Draft,2.093,,,,,Arb,Arb,FA,,"[1.1, 0.6, 0.7999999999999999]",True,0.0,"[50.0, 45.0, 66.0]"
15,Alex Reyes\reyesal02,25,3,Amateur Free Agent,2.065,Octagon,,,,Arb,Arb,FA,,"[2.1999999999999997, 0.3, -0.4]",True,0.35294117647058826,"[12.0, 1.0, 4.0]"
16,Harrison Bader\baderha01,26,4,Amateur Draft,2.03,,,,,Arb,Arb,FA,,"[0.1, 3.5, 2.1]",False,,"[32.0, 138.0, 128.0]"
17,Jordan Hicks\hicksjo03,23,2,Amateur Draft,2.0,Ballengee Group,,,,Arb,Arb,FA,,"[0.5, 0.5]",True,0.0,"[73.0, 29.0]"
18,Giovanny Gallegos\gallegi01,28,3,Traded,1.085,,,,,Arb,Arb,Arb,FA,"[0.0, 0.1, 2.2]",True,0.0,"[16.0, 6.0, 66.0]"
19,Tyler Webb\webbty01,29,4,Waivers,1.0759999999999998,,,,,Arb,Arb,Arb,FA,"[-0.2, -0.5, 0.6]",True,0.0,"[9.0, 22.0, 65.0]"
20,Dakota Hudson\hudsoda02,25,3,Amateur Draft,1.0659999999999998,,,,,Arb,Arb,Arb,FA,"[0.6, 1.8]",True,1.0,"[26.0, 33.0]"
21,Tyler O'Neill\oneilty01,25,3,Traded,1.0590000000000002,,,,,Arb,Arb,Arb,FA,"[1.2, 0.2]",False,,"[61.0, 60.0]"
22,Daniel Ponce de Leon\ponceda01,28,3,Amateur Draft,0.141,,,,,,Arb,Arb,Arb,"[0.8, 0.5]",True,0.0,"[11.0, 13.0]"
23,Austin Dean\deanau01,26,2,,0.124,,,,,,Arb,Arb,Arb,"[-0.3, -1.2]",False,,"[34.0, 64.0]"
24,Tommy Edman\edmanto01,25,2,Amateur Draft,0.114,,,,,,Arb,Arb,Arb,[3.9],False,,[92.0]
25,Austin Gomber\gombeau01,26,2,Amateur Draft,0.111,,,,,,Arb,Arb,Arb,[0.30000000000000004],True,0.0,[29.0]
26,Ryan Helsley\helslry01,25,2,Amateur Draft,0.105,,,,,,Arb,Arb,Arb,[0.5],True,0.0,[24.0]
27,Lane Thomas\thomala02,24,2,Traded,0.085,,,,,,Arb,Arb,Arb,[0.6],False,,[34.0]
28,Andrew Knizner\kniznan01,25,1st,Amateur Draft,0.071,,,,,,Arb,Arb,Arb,[0.2],False,,[18.0]
29,Ryan Meisinger\meisiry01,26,1st,,0.057,,,,,,Arb,Arb,Arb,[-0.1],True,0.05555555555555555,[18.0]
30,Junior Fernandez\fernaju01,23,2,Amateur Free Agent,0.055,,,,,,Arb,Arb,Arb,[-0.2],True,0.0,[13.0]
31,Rangel Ravelo\ravelra01,28,1st,Free Agency,0.054000000000000006,,,,,,Arb,Arb,Arb,[-0.2],False,,[29.0]
32,Genesis Cabrera\cabrege01,23,1st,Traded,0.049,,,,,,Arb,Arb,Arb,[-0.6],True,0.15384615384615385,[13.0]
33,Justin Williams\williju02,24,1st,,0.040999999999999995,,,,,,Arb,Arb,Arb,[-0.1],False,,[1.0]
34,Edmundo Sosa\sosaed01,24,2,Amateur Free Agent,0.04,,,,,,Arb,Arb,Arb,"[0.0, 0.0]",False,,"[3.0, 8.0]"
