,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,career,pitcher,start_ratio,games
0,Bryce Harper\harpebr03,27,9,Free Agency,7.159,Scott Boras,13 yrs/$330M (19-31),$27.54M,$27.54M,$27.54M,$27.54M,$27.54M,$27.54M,$27.54M,$27.54M,$27.54M,$23.54M,$23.54M,$23.54M,"[5.2, 3.7, 1.0, 9.7, 1.5, 4.8, 1.5, 4.3]",False,,"[139.0, 118.0, 100.0, 153.0, 147.0, 111.0, 159.0, 157.0]"
1,Zack Wheeler\wheelza01,30,6,Free Agency,6.098,Jet Sports Manage...,5 yrs/$118M (20-24),$21.5M,$22.5M,$26M,$24.5M,$23.5M,FA,,,,,,,"[1.2, 0.6000000000000001, 0.2, 4.1, 4.3]",True,1.0,"[17.0, 32.0, 17.0, 29.0, 31.0]"
2,Jake Arrieta\arrieja01,34,10,Free Agency,8.145,Boras Corporation,3 yrs/$75M (18-20) & 21-22 team option,$20M,$0 [FA-*],$0 [FA-*],FA,,,,,,,,,"[0.8, 0.6, -0.9, 0.19999999999999993, 5.6, 8.600000000000001, 4.6, 1.9, 2.9, 0.9]",True,0.9761904761904762,"[18.0, 22.0, 24.0, 14.0, 25.0, 33.0, 31.0, 30.0, 31.0, 24.0]"
3,Jean Segura\segurje01,30,9,Traded,7.065,CAA Sports,5 yrs/$70M (18-22) & 23 team option,$14.85M,$14.85M,$14.85M,$1M [FA-*],FA,,,,,,,,"[0.3, 4.1, 0.9, 0.6, 6.4, 3.5, 3.2, 1.5]",False,,"[45.0, 146.0, 146.0, 142.0, 153.0, 125.0, 144.0, 144.0]"
4,Andrew McCutchen\mccutan01,33,12,Free Agency,10.123,Steve Hammond,3 yrs/$50M (19-21) & 22 team option,$17M,$20M,$3M [FA-*],FA,,,,,,,,,"[2.3, 3.8, 5.4, 6.9, 7.8, 6.4, 5.1, -0.3, 3.0, 2.8, 1.6]",False,,"[108.0, 154.0, 158.0, 157.0, 157.0, 146.0, 157.0, 153.0, 156.0, 155.0, 59.0]"
5,Aaron Nola\nolaaa01,27,6,Amateur Draft,4.0760000000000005,Paragon Sports In...,4 yrs/$45M (19-22) & 23 team option,$8.5M,$12.25M,$15.5M,$4.25M [FA-*],FA,,,,,,,,"[1.5, -0.2, 4.2, 9.7, 4.2]",True,1.0,"[13.0, 20.0, 27.0, 33.0, 34.0]"
6,Jay Bruce\bruceja01,33,13,Traded,11.125,Sosnick Cobbe & K...,3 yrs/$39M (18-20),$14M,FA,,,,,,,,,,,"[0.8, 1.3, 4.7, 2.3, 2.2, 5.2, -0.8, 0.9, 1.1, 2.6999999999999997, -1.0, 0.6]",False,,"[108.0, 101.0, 148.0, 157.0, 155.0, 160.0, 137.0, 157.0, 147.0, 146.0, 94.0, 98.0]"
7,Odubel Herrera\herreod01,28,5,Rule 5 Draft,4.088,Victor Tranquillo...,5 yrs/$30.5M (17-21) & 22-23 team option,$7.35M,$10.35M,$2.5M [FA-*],$0 [FA-*],FA,,,,,,,,"[4.1, 4.6, 2.6, 0.2, -0.5]",False,,"[147.0, 159.0, 138.0, 148.0, 39.0]"
8,Scott Kingery\kingesc01,26,3,Amateur Draft,2.0,PSI Sports Manage...,6 yrs/$24M (18-23) & 24-26 team option,$1.75M,$4.25M,$6.25M,$8.25M,$1M [FA-*],$0 [FA-*],$0 [FA-*],FA,,,,,"[-1.0, 2.8]",False,,"[147.0, 126.0]"
9,David Robertson\roberda08,35,12,Free Agency,11.07,Self,2 yrs/$23M (19-20) & 21 team option,$11M,$2M [FA-*],FA,,,,,,,,,,"[0.1, 0.7, 0.8, 3.7, 1.7, 2.4, 1.2, 0.6, 1.2, 2.9000000000000004, 0.7, 0.0]",True,0.0,"[25.0, 45.0, 64.0, 70.0, 65.0, 70.0, 63.0, 60.0, 62.0, 61.0, 69.0, 7.0]"
10,Didi Gregorius\gregodi01,30,9,Free Agency,6.159,Excel Sports Mana...,1 yr/$14M (20),$14M,FA,,,,,,,,,,,"[0.1, 1.4, 1.3, 3.0, 2.3, 4.4, 4.8, 0.3]",False,,"[8.0, 103.0, 80.0, 155.0, 153.0, 136.0, 134.0, 82.0]"
11,J.T. Realmuto\realmjt01,29,7,Traded,5.038,CAA Sports,1 yr/$10M (20),$10M,FA,,,,,,,,,,,"[0.0, 2.4, 2.6, 4.4, 4.5, 4.5]",False,,"[11.0, 126.0, 137.0, 141.0, 125.0, 145.0]"
12,Hector Neris\nerishe01,31,7,Amateur Free Agent,4.0680000000000005,Octagon,1 yr/$4.6M (20) & 21 team option,$4.6M,$0 [Arb-*],FA,,,,,,,,,,"[0.1, 0.3, 2.1, 2.0, 0.2, 1.8]",True,0.0,"[1.0, 32.0, 79.0, 74.0, 53.0, 68.0]"
13,Vince Velasquez\velasvi01,28,6,Traded,4.086,Paragon Sports In...,1 yr/$3.6M (20),$3.6M,Arb,FA,,,,,,,,,,"[0.1, 1.9, 0.5, 1.8, 0.7]",True,1.0,"[19.0, 24.0, 15.0, 31.0, 33.0]"
14,Jose Alvarez\alvarjo02,31,7,Traded,5.035,Wasserman,1 yr/$2.95M (20),$2.95M,FA,,,,,,,,,,,"[-0.2, 0.1, 0.5, 0.0, 0.2, 1.6, 0.8]",True,0.019943019943019943,"[14.0, 2.0, 64.0, 64.0, 64.0, 76.0, 67.0]"
15,Zach Eflin\eflinza01,26,4,Traded,3.0180000000000002,Tom O'Connell,1 yr/$2.63M (20),$2.62M,Arb,Arb,FA,,,,,,,,,"[-0.1, -0.3, 1.8, 1.6]",True,0.9487179487179487,"[11.0, 11.0, 24.0, 32.0]"
16,Adam Morgan\morgaad01,30,5,Amateur Draft,4.0169999999999995,CAA Sports,1 yr/$1.58M (20),$1.57M,Arb,FA,,,,,,,,,,"[0.7, -1.1, 0.7999999999999999, 0.7, 0.4]",True,0.1978021978021978,"[15.0, 23.0, 37.0, 67.0, 40.0]"
17,Andrew Knapp\knappan01,28,3,Amateur Draft,3.0,Sosnick Cobbe & K...,1 yr/$710k (20),$710k,Arb,Arb,FA,,,,,,,,,"[0.4, -0.5, 0.1]",False,,"[56.0, 84.0, 74.0]"
18,Tommy Hunter\hunteto02,33,13,Free Agency,10.066,Moye Sports Assoc...,1 yr/$100k (20),$100k,FA,,,,,,,,,,,"[-0.8, 1.8, 2.7, 0.4, -0.2, 1.8, 0.7, 0.3, 0.6000000000000001, 1.3, 1.5, 0.2]",True,0.0,"[3.0, 19.0, 23.0, 20.0, 33.0, 68.0, 60.0, 58.0, 33.0, 61.0, 65.0, 5.0]"
19,Neil Walker\walkene01,34,12,Free Agency,9.166,Hendricks Sports,1 yr/$100k (20),$100k,FA,,,,,,,,,,,"[-0.6, 2.1, 2.6, 2.6, 3.0, 3.6, 2.2, 2.2, 1.9, -0.1, 0.6]",False,,"[17.0, 110.0, 159.0, 129.0, 133.0, 137.0, 151.0, 113.0, 111.0, 113.0, 115.0]"
20,Blake Parker\parkebl01,35,7,Free Agency,5.0360000000000005,,,Arb (~$4.7M),,,,,,,,,,,,"[-0.3, 0.7, -0.1, 0.1, 1.8, 1.1, 0.3]",True,0.006920415224913495,"[7.0, 49.0, 18.0, 17.0, 71.0, 67.0, 60.0]"
21,Nick Williams\willini01,26,3,Traded,2.036,,,,,Arb,Arb,FA,,,,,,,,"[0.2, -0.8, -1.2]",False,,"[83.0, 140.0, 67.0]"
22,Phil Gosselin\gosseph01,31,8,Free Agency,3.125,Meister Sports Ma...,,Arb (~$700k),,Arb,FA,,,,,,,,,"[0.0, 0.8, 0.8999999999999999, 0.5, -0.7, -0.1, -0.4]",False,,"[4.0, 46.0, 44.0, 122.0, 40.0, 20.0, 44.0]"
23,Ronald Torreyes\torrero01,27,5,,2.1590000000000003,,,,,Arb,Arb,FA,,,,,,,,"[0.1, 0.3, 0.8, 0.1, -0.2]",False,,"[8.0, 72.0, 108.0, 41.0, 7.0]"
24,Mikie Mahtook\mahtomi01,30,5,,2.127,CAA Sports,,,,Arb,Arb,FA,,,,,,,,"[1.3, -1.1, 0.5, 0.3, -0.4]",False,,"[41.0, 65.0, 109.0, 67.0, 9.0]"
25,Nick Pivetta\pivetni01,27,4,Traded,2.094,,,,,Arb,Arb,FA,,,,,,,,"[-0.6, 2.2, -0.5]",True,0.0,"[26.0, 33.0, 30.0]"
26,Rhys Hoskins\hoskirh01,27,4,Amateur Draft,2.053,Scott Boras,,,,Arb,Arb,FA,,,,,,,,"[2.1, 1.0, 1.6]",False,,"[50.0, 153.0, 160.0]"
27,Christian Bethancourt\bethach01,28,5,,2.0380000000000003,Scott Boras,,,,Arb,Arb,FA,,,,,,,,"[0.0, -0.3, -0.1, -0.1, -0.1]",False,,"[1.0, 31.0, 48.0, 73.0, 8.0]"
28,Victor Arano\aranovi01,25,3,Traded,2.02,,,,,Arb,Arb,FA,,,,,,,,"[0.5, 2.0, 0.0]",True,0.0,"[10.0, 60.0, 3.0]"
29,Deolis Guerra\guerrde01,31,5,Waivers,1.149,,,,,Arb,Arb,Arb,FA,,,,,,,"[-0.4, 0.4, 0.0, -0.2]",True,0.0,"[10.0, 44.0, 19.0, 1.0]"
30,Seranthony Dominguez\dominse01,25,2,Amateur Free Agent,1.147,,,,,Arb,Arb,Arb,FA,,,,,,,"[2.3, 0.0]",True,0.0,"[53.0, 27.0]"
31,Roman Quinn\quinnro01,27,4,Amateur Draft,1.088,Reynolds Sports,,,,Arb,Arb,Arb,FA,,,,,,,"[0.3, 0.6, -0.1]",False,,"[15.0, 50.0, 44.0]"
32,Nick Martini\martini02,30,2,,1.028,,,,,Arb,Arb,Arb,FA,,,,,,,"[1.4, -0.2]",False,,"[55.0, 32.0]"
33,Edgar Garcia\garcied01,23,1st,Amateur Free Agent,0.114,Optimum Baseball,,,,,Arb,Arb,Arb,FA,,,,,,[-0.1],True,0.0,[37.0]
34,Austin Davis\davisau01,27,3,Amateur Draft,0.166,,,,,Arb,Arb,Arb,Arb,FA,,,,,,"[0.2, -0.1]",True,0.0,"[32.0, 14.0]"
35,Ranger Suarez\suarera01,24,2,Amateur Free Agent,0.135,,,,,,Arb,Arb,Arb,FA,,,,,,"[-0.19999999999999998, 0.9]",True,0.07317073170731707,"[4.0, 37.0]"
36,Adam Haseley\haselad01,24,2,Amateur Draft,0.11800000000000001,,,,,,Arb,Arb,Arb,FA,,,,,,[1.8],False,,[67.0]
37,Cole Irvin\irvinco01,26,2,Amateur Draft,0.062,,,,,,Arb,Arb,Arb,FA,,,,,,[-0.19999999999999998],True,0.0,[16.0]
38,Reggie McClain\mcclare01,27,2,Waivers,0.059000000000000004,,,,,,Arb,Arb,Arb,FA,,,,,,[0.0],True,0.0,[14.0]
39,Deivy Grullon\grullde01,24,1st,Amateur Free Agent,0.028999999999999998,,,,,,Arb,Arb,Arb,FA,,,,,,[-0.2],False,,[4.0]
40,J.D. Hammer\hammejd01,25,1st,Traded,0.057,,,,,,Arb,Arb,Arb,FA,,,,,,[0.3],True,0.0,[20.0]
41,Enyel De Los Santos\delosen01,24,2,Traded,0.055999999999999994,,,,,,Arb,Arb,Arb,FA,,,,,,"[0.1, -0.2]",True,0.25,"[7.0, 5.0]"
42,Kyle Garlick\garliky01,28,1st,,0.046,,,,,,Arb,Arb,Arb,FA,,,,,,[0.2],False,,[30.0]
43,Trevor Kelley\kelletr01,26,2,Waivers,0.027999999999999997,C.L. Rocks Corpor...,,,,,Arb,Arb,Arb,FA,,,,,,[-0.3],True,0.0,[10.0]
