Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Mike Trout\troutmi01,29,11,Amateur Draft,9.070,Craig Landis,12 yrs/$426.5M (19-30),$37.1M,$37.1M,$37.1M,$37.1M,$37.1M,$37.1M,$37.1M,$37.1M,$37.1M,$37.1M
Anthony Rendon\rendoan01,31,9,Free Agency,7.130,Scott Boras,7 yrs/$245M (20-26),$28.07M,$36.6M,$38.6M,$38.6M,$38.6M,$38.6M,FA,,,
Justin Upton\uptonju01,33,15,Traded,13.060,Larry Reynolds,5 yrs/$106M (18-22),$23M,$28M,FA,,,,,,,
Dexter Fowler\fowlede01,35,14,Traded,11.168,Excel Sports Mana...,5 yrs/$82.5M (17-21),$16.5M,FA,,,,,,,,
Alex Cobb\cobbal01,33,10,Traded,9.061,Beverly Hills Spo...,4 yrs/$57M (18-21),$15M,FA,,,,,,,,
David Fletcher\fletcda02,27,4,Amateur Draft,2.111,,5 yrs/$26M (21-25) & 26-27 team option,$2M,$4M,$6M,$6M,$6.5M,$1.5M [FA-*],$0 [FA-*],FA,,
Shohei Ohtani\ohtansh01,26,4,Free Agency,3.000,CAA Sports,2 yrs/$8.5M (21-22),$3M,$5.5M,Arb,FA,,,,,,
Dylan Bundy\bundydy01,28,7,Traded,5.026,Jay Franklin,1 yr/$8.33M (21),$8.32M,FA,,,,,,,,
Jose Quintana\quintjo01,32,10,Free Agency,8.133,Wasserman,1 yr/$8M (21),$8M,FA,,,,,,,,
Andrew Heaney\heanean01,30,8,Traded,5.150,Icon Sports Manag...,1 yr/$6.75M (21),$6.75M,FA,,,,,,,,
José Iglesias\iglesjo01,31,10,Traded,8.036,MVP Sports Group,2 yrs/$6M (20-21),$3.5M,FA,,,,,,,,
Max Stassi\stassma01,30,9,Traded,4.049,Wasserman,1 yr/$1.6M (21),$1.6M,Arb,FA,,,,,,,
Kurt Suzuki\suzukku01,37,15,Free Agency,13.113,MVP Sports Group,1 yr/$1.5M (21),$1.5M,FA,,,,,,,,
Mike Mayers\mayermi01,29,6,Waivers,3.020,,1 yr/$1.2M (21),$1.2M,Arb,Arb,FA,,,,,,
Alex Claudio\claudal01,29,8,Free Agency,5.114,MDR Sports Manage...,1 yr/$1.13M (21),$1.12M,FA,,,,,,,,
Felix Pena\penafe01,31,6,Traded,3.079,,1 yr/$1.1M (21),$1.1M,Arb,Arb,FA,,,,,,
Steve Cishek\cishest01,35,12,Free Agency,9.143,Jet Sports Manage...,1 yr/$1M (21),$1M,FA,,,,,,,,
Tony Watson\watsoto01,36,11,Free Agency,9.101,Scott Boras,1 yr/$1M (21),$1M,FA,,,,,,,,
Jon Jay\jayjo02,36,12,Free Agency,10.134,CAA Sports (Nez B...,1 yr/$100k (21),$100k,FA,,,,,,,,
Drew Butera\buterdr01,37,12,Purchased,9.067,David Schwartz,1 yr/$100k (21),$100k,FA,,,,,,,,
Juan Lagares\lagarju01,32,9,Free Agency,7.005,ACES (Sam & Seth ...,1 yr/$100k (21),$100k,FA,,,,,,,,
AJ Ramos\ramosaj01,34,8,,6.055,Sports One Athlet...,1 yr/$100k (21),$100k,FA,,,,,,,,
Hunter Strickland\strichu01,32,8,Purchased,5.033,Diamond Sports Ma...,1 yr/$100k (21),$100k,FA,,,,,,,,
Phil Gosselin\gosseph01,32,9,Free Agency,4.125,Meister Sports Ma...,1 yr/$100k (21),$100k,Arb,FA,,,,,,,
Raisel Iglesias\iglesra01,31,7,Traded,5.154,Magnus Sports,,Arb,,,,,,,,,
Jake Petricka\petrija01,33,7,,5.020,Nick Brockmeyer,,Arb,,,,,,,,,
James Hoyt\hoytja01,34,6,Purchased,2.094,,,,,Arb,Arb,FA,,,,,
Junior Guerra\guerrju02,36,7,Free Agency,4.155,,,Arb (~$3.3M),,FA,,,,,,,
Scott Schebler\schebsc01,30,7,Free Agency,3.054,,,Arb,,Arb,FA,,,,,,
Luis Rengifo\rengilu01,24,3,Traded,1.147,,,,,Arb,Arb,Arb,FA,,,,
Jaime Barria\barrija01,24,4,Amateur Free Agent,1.123,,,,,Arb,Arb,Arb,FA,,,,
Dillon Peters\peterdi01,28,4,Traded,1.089,,,,,Arb,Arb,Arb,FA,,,,
Aaron Slegers\slegeaa01,28,5,Traded,1.086,,,,,Arb,Arb,Arb,FA,,,,
Anthony Bemboom\bemboan01,31,3,Purchased,1.058,,,,,Arb,Arb,Arb,FA,,,,
Dalton Pompey\pompeda01,28,4,,2.104,CAA Sports,,,,Arb,Arb,FA,,,,,
Ty Buttrey\buttrty01,28,3,Traded,2.046,,,,,Arb,Arb,FA,,,,,
Franklin Barreto\barrefr02,25,4,Traded,2.031,,,,,Arb,Arb,FA,,,,,
Jake Faria\fariaja01,27,3,,1.168,Beverly Hills Spo...,,,,Arb,Arb,Arb,FA,,,,
Griffin Canning\cannigr01,25,3,Amateur Draft,1.153,Wasserman,,,,Arb,Arb,Arb,FA,,,,
Taylor Ward\wardta01,27,4,Amateur Draft,1.065,Wasserman,,,,Arb,Arb,Arb,FA,,,,
Luke Bard\bardlu01,30,3,Free Agency,1.028,,,,,Arb,Arb,Arb,FA,,,,
Jared Walsh\walshja01,27,3,Amateur Draft,1.010,,,,,Arb,Arb,Arb,FA,,,,
Thomas Pannone\pannoth01,27,2,,1.002,Beverly Hills Spo...,,,,Arb,Arb,Arb,FA,,,,
Jo Adell\adelljo01,22,1st,Amateur Draft,0.153,,,,,Arb,Arb,Arb,Arb,FA,,,
Matt Thaiss\thaisma01,26,2,Amateur Draft,0.153,,,,,Arb,Arb,Arb,Arb,FA,,,
Jose Quijada\quijajo01,25,3,Waivers,0.143,,,,,,Arb,Arb,Arb,FA,,,
Patrick Sandoval\sandopa02,24,3,Traded,0.167,Wasserman,,,,Arb,Arb,Arb,Arb,FA,,,
Jake Buchanan\buchaja01,31,4,,0.161,Ballengee Group,,,,Arb,Arb,Arb,Arb,FA,,,
Jose Suarez\suarejo01,23,3,Amateur Free Agent,0.160,,,,,Arb,Arb,Arb,Arb,FA,,,
Tim Peterson\peterti01,30,2,,0.117,,,,,,Arb,Arb,Arb,FA,,,
Gavin Cecchini\cecchga02,27,2,,0.082,Rob Martin,,,,,Arb,Arb,Arb,FA,,,
Gerardo Reyes\reyesge01,28,1st,,0.074,,,,,,Arb,Arb,Arb,FA,,,
Francisco Arcia\arciafr01,31,1st,Free Agency,0.067,,,,,,Arb,Arb,Arb,FA,,,
Ben Rowen\rowenbe01,32,3,Free Agency,0.061,,,,,,Arb,Arb,Arb,FA,,,
Tyler Danish\danisty01,26,3,,0.051,,,,,,Arb,Arb,Arb,FA,,,
Mitch Walding\waldimi01,28,2,,0.048,Sosnick Cobbe & K...,,,,,Arb,Arb,Arb,FA,,,
Kean Wong\wongke01,26,2,Free Agency,0.025,,,,,,Arb,Arb,Arb,FA,,,